공연시설명,공연장명,좌석수,공연건수,개막편수,상연횟수,총티켓판매수,연도,규모
예술의전당 [서울],CJ 토월극장,1004,2,1,21,14532,2023,"1,000~5,000석 미만"
예술의전당 [서울],리사이틀홀,354,18,18,18,5597,2023,300~500석 미만
예술의전당 [서울],콘서트홀,2505,9,9,9,17477,2023,"1,000~5,000석 미만"
예술의전당 [서울],자유소극장,241,1,0,35,6616,2023,1~300석 미만
예술의전당 [서울],IBK챔버홀,600,14,14,14,6107,2023,"500~1,000석 미만"
예술의전당 [서울],오페라극장,2283,1,1,25,44307,2023,"1,000~5,000석 미만"
예술의전당 [서울],신세계스퀘어 야외무대,1000,0,0,0,0,2023,"1,000~5,000석 미만"
예술의전당 [서울],인춘아트홀,100,11,11,11,992,2023,1~300석 미만
예술의전당 [서울],1101어린이라운지,0,0,0,0,0,2023,좌석 미상
예술의전당 [서울],서예박물관,0,0,0,0,0,2023,좌석 미상
예술의전당 [서울],N스튜디오(국립예술단체공연연습장) 공용1,20,0,0,0,0,2023,1~300석 미만
국립극장,하늘극장,627,4,4,9,2397,2023,"500~1,000석 미만"
국립극장,별오름극장,74,0,0,0,0,2023,1~300석 미만
국립극장,해오름극장,1221,7,7,10,6943,2023,"1,000~5,000석 미만"
국립극장,달오름극장,510,1,0,32,5033,2023,"500~1,000석 미만"
국립극장,연습실,0,0,0,0,0,2023,좌석 미상
국립극장,문화광장,0,0,0,0,0,2023,좌석 미상
국립극장,해맞이 쉼터 (1F),0,0,0,0,0,2023,좌석 미상
국립중앙박물관 극장 용,국립중앙박물관 극장 용,805,1,1,43,13853,2023,"500~1,000석 미만"
유니버설아트센터,유니버설아트센터,1052,1,0,39,9974,2023,"1,000~5,000석 미만"
디큐브링크아트센터,디큐브씨어터,1242,1,0,35,32781,2023,"1,000~5,000석 미만"
디큐브링크아트센터,스페이스 신도림(폐관),500,0,0,0,0,2023,"500~1,000석 미만"
샤롯데씨어터,샤롯데씨어터,1230,1,0,38,26840,2023,"1,000~5,000석 미만"
인천문화예술회관,소공연장,486,1,1,1,87,2023,300~500석 미만
인천문화예술회관,대공연장,1332,1,1,6,3018,2023,"1,000~5,000석 미만"
인천문화예술회관,야외공연장,440,0,0,0,0,2023,300~500석 미만
인천문화예술회관,복합문화공간,0,0,0,0,0,2023,좌석 미상
인천문화예술회관,로비,0,0,0,0,0,2023,좌석 미상
충무아트센터,소극장 블루,225,0,0,0,0,2023,1~300석 미만
충무아트센터,대극장,1250,1,0,32,18252,2023,"1,000~5,000석 미만"
충무아트센터,중극장 블랙,320,1,0,33,4714,2023,300~500석 미만
충무아트센터,컨벤션센터,150,0,0,0,0,2023,1~300석 미만
충무아트센터,예그린스페이스,100,0,0,0,0,2023,1~300석 미만
성남아트센터,콘서트홀,1102,5,5,6,3981,2023,"1,000~5,000석 미만"
성남아트센터,오페라하우스,1804,4,3,10,8458,2023,"1,000~5,000석 미만"
성남아트센터,앙상블씨어터,378,5,5,14,2971,2023,300~500석 미만
성남아트센터,미디어홀,97,0,0,0,0,2023,1~300석 미만
경기아트센터(구. 경기도문화의전당),소극장,502,1,1,5,802,2023,"500~1,000석 미만"
경기아트센터(구. 경기도문화의전당),대극장,1544,4,3,9,7293,2023,"1,000~5,000석 미만"
경기아트센터(구. 경기도문화의전당),흥겨운 극장(국악당),426,0,0,0,0,2023,300~500석 미만
경기아트센터(구. 경기도문화의전당),컨벤션홀,160,0,0,0,0,2023,1~300석 미만
경기아트센터(구. 경기도문화의전당),행복한대극장(폐관),0,0,0,0,0,2023,좌석 미상
경기아트센터(구. 경기도문화의전당),야외광장,0,0,0,0,0,2023,좌석 미상
안산문화예술의전당,해돋이극장,1573,2,2,3,3350,2023,"1,000~5,000석 미만"
안산문화예술의전당,달맞이극장,716,1,1,1,264,2023,"500~1,000석 미만"
안산문화예술의전당,별무리극장,140,0,0,0,0,2023,1~300석 미만
안산문화예술의전당,야외공연장,1000,0,0,0,0,2023,"1,000~5,000석 미만"
세종문화회관,세종대극장,3022,6,6,20,40028,2023,"1,000~5,000석 미만"
세종문화회관,세종체임버홀,443,24,24,25,7959,2023,300~500석 미만
세종문화회관,세종M씨어터,609,1,0,42,6245,2023,"500~1,000석 미만"
세종문화회관,세종S씨어터,300,1,1,56,5634,2023,300~500석 미만
세종문화회관,뜨락(야외공간)(폐관),0,0,0,0,0,2023,좌석 미상
세종문화회관,세종예술아카데미(스퀘어홀),94,0,0,0,0,2023,1~300석 미만
세종문화회관,세종예술아카데미(서클홀),50,0,0,0,0,2023,1~300석 미만
세종문화회관,세종예술아카데미(오픈스테이지),100,0,0,0,0,2023,1~300석 미만
안양아트센터,관악홀,1126,2,2,7,3613,2023,"1,000~5,000석 미만"
안양아트센터,수리홀,382,0,0,0,0,2023,300~500석 미만
강동아트센터,소극장 드림,250,0,0,0,0,2023,1~300석 미만
강동아트센터,대극장 한강,850,2,2,6,3012,2023,"500~1,000석 미만"
강동아트센터,스튜디오#1,100,0,0,0,0,2023,1~300석 미만
강동아트센터,스튜디오#3(폐관),40,0,0,0,0,2023,1~300석 미만
강동아트센터,잔디마당(바람꽃마당)(폐관),2000,0,0,0,0,2023,"1,000~5,000석 미만"
블루스퀘어,신한카드홀 (구. 인터파크홀),1766,1,0,39,50010,2023,"1,000~5,000석 미만"
블루스퀘어,"SOL트래블홀 (구. Mastercard Hall, 구. 아이마켓홀)",1373,2,2,4,4635,2023,"1,000~5,000석 미만"
블루스퀘어,카오스홀,250,0,0,0,0,2023,1~300석 미만
블루스퀘어,NEMO,0,0,0,0,0,2023,좌석 미상
나루아트센터,소공연장,167,0,0,0,0,2023,1~300석 미만
나루아트센터,대공연장,618,2,1,46,4779,2023,"500~1,000석 미만"
나루아트센터,갤러리(전시실),0,0,0,0,0,2023,좌석 미상
KT&G 상상마당 대치아트홀,KT&G 상상마당 대치아트홀,422,1,1,43,5229,2023,300~500석 미만
백암아트홀,백암아트홀,417,2,1,56,4776,2023,300~500석 미만
대전예술의전당,아트홀,1546,5,4,8,3555,2023,"1,000~5,000석 미만"
대전예술의전당,앙상블홀,643,7,7,7,183,2023,"500~1,000석 미만"
대전예술의전당,원형극장,850,0,0,0,0,2023,"500~1,000석 미만"
대전예술의전당,연습실 (1F),0,0,0,0,0,2023,좌석 미상
하남문화예술회관,검단홀(대극장),911,2,2,8,2511,2023,"500~1,000석 미만"
하남문화예술회관,아랑홀(소극장),355,1,1,3,49,2023,300~500석 미만
하남문화예술회관,전시장,25,0,0,0,0,2023,1~300석 미만
광주시문화예술의전당 (구. 남한산성아트홀),남한산성홀,1038,2,2,7,3208,2023,"1,000~5,000석 미만"
광주시문화예술의전당 (구. 남한산성아트홀),맹사성홀,270,0,0,0,0,2023,1~300석 미만
한전아트센터,한전아트센터,999,1,0,31,12422,2023,"500~1,000석 미만"
부천시민회관,대공연장,1041,6,5,18,4751,2023,"1,000~5,000석 미만"
부천시민회관,소공연장,214,0,0,0,0,2023,1~300석 미만
부천시민회관,부천시립합창단 연습실,0,0,0,0,0,2023,좌석 미상
부천시민회관,부천필하모닉오케스트라 연습실,0,0,0,0,0,2023,좌석 미상
고양아람누리,아람음악당,1449,1,1,1,405,2023,"1,000~5,000석 미만"
고양아람누리,새라새극장,304,3,3,4,437,2023,300~500석 미만
고양아람누리,아람극장,1887,2,2,4,3358,2023,"1,000~5,000석 미만"
고양아람누리,노루목야외극장,1000,0,0,0,0,2023,"1,000~5,000석 미만"
고양아람누리,갤러리누리,0,0,0,0,0,2023,좌석 미상
JTN 아트홀(구. 대학로예술마당),2관,210,1,0,27,777,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),1관,228,1,0,12,1067,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),4관,208,1,0,33,972,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),3관,208,1,0,15,283,2023,1~300석 미만
오산문화예술회관,대공연장,800,2,2,13,2963,2023,"500~1,000석 미만"
오산문화예술회관,소공연장,207,0,0,0,0,2023,1~300석 미만
부산문화회관,대극장,1417,6,6,6,6428,2023,"1,000~5,000석 미만"
부산문화회관,사랑채극장(소극장),312,0,0,0,0,2023,300~500석 미만
부산문화회관,중극장,783,3,3,3,827,2023,"500~1,000석 미만"
부산문화회관,챔버홀,410,7,7,7,1400,2023,300~500석 미만
코엑스,신한카드 아티움,1004,2,2,4,3689,2023,"1,000~5,000석 미만"
코엑스,아트홀,200,0,0,0,0,2023,1~300석 미만
코엑스,오디토리움,1080,0,0,0,0,2023,"1,000~5,000석 미만"
