장르,개막편수,상연횟수,매출액,매출액점유율,관객수,관객점유율
연극,81,3687,4364781682,5.8,193828,15.5
뮤지컬,141,2829,44860451233,59.5,670018,53.5
서양음악(클래식),281,303,4238677630,5.6,122774,9.8
한국음악(국악),33,61,114218800,0.2,13744,1.1
대중음악,174,306,20653770100,27.4,206155,16.5
무용(서양/한국무용),10,19,109677000,0.1,5785,0.5
대중무용,2,3,9250000,0.0,316,0.0
서커스/마술,34,855,984074859,1.3,34437,2.8
복합,7,11,26389700,0.0,5083,0.4
연극,136,3647,7162854139,8.7,235629,16.1
뮤지컬,190,3166,47468765967,57.5,767167,52.3
서양음악(클래식),477,527,5743790400,7.0,184560,12.6
한국음악(국악),62,115,102945700,0.1,14452,1.0
대중음악,240,395,19567655710,23.7,195468,13.3
무용(서양/한국무용),35,65,1292361400,1.6,21231,1.4
대중무용,7,7,39629000,0.0,2766,0.2
서커스/마술,39,803,1044465548,1.3,39714,2.7
복합,14,20,119031200,0.1,4790,0.3
연극,155,3586,5745187364,8.0,199909,15.0
뮤지컬,285,2860,30685992684,42.6,569297,42.6
서양음악(클래식),612,674,7615065000,10.6,238302,17.8
한국음악(국악),112,201,644874700,0.9,45291,3.4
대중음악,266,421,24733565680,34.3,222744,16.7
무용(서양/한국무용),28,55,1824863060,2.5,25517,1.9
대중무용,2,2,27122000,0.0,1322,0.1
서커스/마술,45,559,690794300,1.0,27911,2.1
복합,21,47,132855500,0.2,6057,0.5
연극,186,3685,5607452108,8.2,226902,16.6
뮤지컬,235,2877,35454831630,51.6,594024,43.4
서양음악(클래식),631,706,5155028430,7.5,232189,17.0
한국음악(국악),93,223,514149800,0.7,37733,2.8
대중음악,274,427,20227855482,29.4,206038,15.1
무용(서양/한국무용),39,72,861980000,1.3,30958,2.3
대중무용,7,9,37477500,0.1,2223,0.2
서커스/마술,50,487,740458720,1.1,29156,2.1
복합,20,51,100008000,0.1,9093,0.7
연극,186,4420,6251801670,5.3,256306,12.5
뮤지컬,355,3695,42298198150,35.6,794169,38.7
서양음악(클래식),655,757,7115110800,6.0,267981,13.1
한국음악(국악),82,156,326592100,0.3,36201,1.8
대중음악,325,544,58905452848,49.5,557002,27.1
무용(서양/한국무용),69,128,1440323800,1.2,56715,2.8
대중무용,1,2,0,0.0,816,0.0
서커스/마술,66,703,2469008406,2.1,63149,3.1
복합,41,171,127532000,0.1,19978,1.0
연극,245,3769,4153342379,3.9,191462,11.5
뮤지컬,266,2895,30329278791,28.2,564530,34.0
서양음악(클래식),698,775,8375942390,7.8,263839,15.9
한국음악(국악),90,155,529212700,0.5,32327,1.9
대중음악,266,468,61594773640,57.3,508192,30.6
무용(서양/한국무용),76,145,1707676940,1.6,51917,3.1
대중무용,5,6,18536400,0.0,1689,0.1
서커스/마술,48,601,688319625,0.6,30851,1.9
