지역명,공연시설수,공연장수,총좌석수,공연건수,개막편수,상연횟수,판매수,취소수,총티켓판매수,총티켓판매액
서울,1354,1713,572314,567,,5977,1640758,721936,918822,56728585106
경상도,630,848,842129,160,,815,190756,60476,130280,8243910990
부산,200,255,411272,72,,297,100800,35970,64830,5077718660
대구,142,195,183465,46,,322,49615,12591,37024,1666100530
경북,121,159,87681,13,,27,14486,5241,9245,575456600
경남,124,176,115675,22,,102,14825,3684,11141,506260000
울산,43,63,44036,7,,67,11030,2990,8040,418375200
경기/인천,536,690,900424,140,,712,153762,38285,115477,5176253308
경기,424,543,723081,119,,613,130900,32395,98505,4287307798
인천,112,147,177343,21,,99,22862,5890,16972,888945510
충청도,277,365,372381,72,,243,85997,32908,53089,3265065800
대전,94,118,251270,33,,141,42995,14820,28175,1852431100
충남,99,139,76493,22,,51,27140,13970,13170,837445700
세종,16,31,8078,7,,9,6822,2013,4809,313188500
충북,68,77,36540,10,,42,9040,2105,6935,262000500
전라도,266,369,299461,33,,158,26240,7095,19145,930087700
광주,73,111,87073,14,,82,15925,4586,11339,614657000
전북,108,137,102632,16,,71,8164,1883,6281,253703000
전남,85,121,109756,3,,5,2151,626,1525,61727700
강원도,151,214,356780,15,,32,18429,6903,11526,850215600
제주도,70,86,90075,9,,137,5494,1693,3801,167172500
합계,3284,4285,3433564,996,,8074,2121436,869296,1252140,75361291004
서울,1354,1713,572314,787,,6253,1783493,745704,1037789,61849464734
경상도,630,848,842129,214,,935,230719,75342,155377,8047518790
부산,200,255,411272,72,,314,90164,37120,53044,3560020510
대구,142,195,183465,56,,317,65290,18871,46419,2507142340
경북,121,159,87681,43,,88,35591,10408,25183,967801530
경남,124,176,115675,30,,139,25585,6068,19517,784120450
울산,43,63,44036,13,,77,14089,2875,11214,228433960
경기/인천,536,690,900424,222,,879,223832,64230,159602,7265883080
경기,424,543,723081,186,,737,178726,49355,129371,5091623710
인천,112,147,177343,36,,142,45106,14875,30231,2174259370
충청도,277,365,372381,80,,281,76297,22260,54037,2723825960
대전,94,118,251270,30,,126,34768,10025,24743,1717475710
세종,16,31,8078,11,,19,13303,4368,8935,420809750
충남,99,139,76493,24,,70,19902,6199,13703,368488700
충북,68,77,36540,15,,66,8324,1668,6656,217051800
전라도,266,369,299461,62,,245,54543,14667,39876,2074795700
전북,108,137,102632,20,,89,21256,6639,14617,1111656200
광주,73,111,87073,27,,109,22810,6235,16575,738603800
